JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458605.42194,17.747,0.1,,V,EHEA,,ensemble,000-BNC-523,X24436FB,,0,,Z,,14.567,,SN 2019EIN,AAVSO,STD,,,,
2458613.38821,14.56,,,V,MAND,,000-BNC-522,000-BNC-522,X24436ER,,0,,Z,14.323,14.323,,SN 2019EIN,AAVSO,STD,,,,
2458615.69440,14.298,0.0062,,V,SDN,,143,146,X24429JH,Mean from 5 images,1,1.000,Z,7.8172,8.090,,SN 2019EIN,AAVSO,STD,,,,
2458615.7125,14.107,0.0133,,B,SDN,,143,146,X24429JH,Mean from 5 images,1,1.003,Z,8.5834,9.052,,SN 2019EIN,AAVSO,STD,,,,
2458616.36042,14.1,,,CV,WKL,,,,X24429HV,,0,,Z,14.3,,,SN 2019ein,BAV,STD,,,,
2458616.38542,14.2,,,Vis.,WKL,,14.3,,X24429HV,,,,Z,,,,SN 2019ein,BAV,STD,,,,
2458616.43795,14.101,0.055,,V,RZD,,ENSEMBLE,,190514,,0,1.036,Z,,,,SN 2019EIN,AAVSO,STD,,,,
2458616.55670,14.19,,,V,NRNA,,000-BNC-522,,X224429EG,,0,,Z,14.06,,,SN 2019EIN,AAVSO,STD,,,,
2458616.57080,14.06,,,R,NRNA,,000-BNC-522,,X224429EG,,0,,Z,14.06,,,SN 2019EIN,AAVSO,STD,,,,
2458616.96797,14.15,0.019,,V,BLP,,143,146,X24419BYJ,,0,1.71,Z,14.323,14.57,,SN 2019ein,MCSE,STD,,,,
2458617.355,14.1,,,V,LGIB,,000-BNC-522,,X24436ER,,0,,Z,14.32,,,SN 2019EIN,AAVSO,STD,,,,
2458617.371,13.95,,,R,LGIB,,000-BNC-522,,X24436ER,,0,,Z,13.96,,,SN 2019EIN,AAVSO,STD,,,,
2458617.388,14.4,,,SG,LGIB,,000-BNC-522,,X24436ER,,0,,Z,14.52,,,SN 2019EIN,AAVSO,STD,,,,
2458617.411,13.76,,,SR,LGIB,,000-BNC-522,,X24436ER,,0,,Z,14.15,,,SN 2019EIN,AAVSO,STD,,,,
